Assumption ID,Assumption name,Value,Category,Source,Source URL,Source date,Last reviewed,Owner,Field-use restriction
SRC-001,"HCPCS identifies items and services, not coverage/payment",Coding status is separated from payment status.,policy-backed rule,CMS HCPCS Level II Coding Procedures,https://www.cms.gov/medicare/coding/medhcpcsgeninfo/hcpcscodingprocess.html,Page modified 2026-02-19; accessed 2026-05-02,2026-05-02,Reimbursement strategy owner,ARM-facing
SRC-002,HCPCS quarterly drug/biological coding cycle,Drug and biological code applications follow quarterly CMS review cycles.,policy-backed rule,CMS HCPCS Level II Coding Decisions,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/current-prior-years-level-ii-coding-decisions,Accessed 2026-05-02,2026-05-02,Reimbursement strategy owner,ARM-facing
SRC-003,OPPS pass-through is a payment pathway,"Pass-through status is modeled as payment status, not product coding status.",policy-backed rule,CMS Pass-Through Payment Status and New Technology APC,https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/HospitalOutpatientPPS/passthrough_payment.html,Accessed 2026-05-02,2026-05-02,Reimbursement strategy owner,ARM-facing
SRC-004,Medicare Part B ASP/WAC branches,ASP is primary for many Part B drugs; WAC may be used when ASP is unavailable.,policy-backed rule,CMS Part B Drugs and Biologicals,https://www.cms.gov/cms-guide-medical-technology-companies-and-other-interested-parties/payment/part-b-drugs,Page updated 2026-03-10; accessed 2026-05-02,2026-05-02,Reimbursement strategy owner,ARM-facing
SRC-005,ASP pricing file caveat,Presence or absence in CMS ASP files does not itself indicate coverage.,policy-backed rule,CMS ASP Pricing Files,https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,Accessed 2026-05-02,2026-05-02,Reimbursement strategy owner,ARM-facing
SRC-006,Medicaid PAD NDC/utilization requirements,Medicaid PAD branches require NDC and utilization fields where applicable.,policy-backed rule,Medicaid.gov Physician Administered Drugs,https://www.medicaid.gov/medicaid/prescription-drugs/state-prescription-drug-resources/physician-administered-drugs-pad,Page updated 2022-10-20; accessed 2026-05-02,2026-05-02,Medicaid policy owner,ARM-facing
SRC-007,MDRP 11-digit NDC data structure,MDRP product and AMP files identify products using 11-digit NDCs.,policy-backed rule,Medicaid.gov MDRP Data,https://www.medicaid.gov/medicaid/prescription-drugs/medicaid-drug-rebate-program/medicaid-drug-rebate-program-data,Page updated 2026-04-13; accessed 2026-05-02,2026-05-02,Medicaid policy owner,ARM-facing
SRC-008,340B duplicate-discount prohibition,Medicaid + 340B scenarios require duplicate-discount resolution before clean output.,policy-backed rule,HRSA Duplicate Discount Prohibition,https://www.hrsa.gov/opa/program-requirements/medicaid-exclusion,Accessed 2026-05-02,2026-05-02,340B/compliance owner,ARM-facing
SRC-009,340B Medicaid Exclusion File applies to FFS,MEF logic is not assumed to resolve Medicaid MCO plan requirements.,policy-backed rule,HRSA Medicaid Exclusion File help,https://340bregistration.hrsa.gov/help/Manufacturer/Reports/MedicaidExclusionFile.htm,Accessed 2026-05-02,2026-05-02,340B/compliance owner,ARM-facing
MOD-001,Adrabetadex launch WAC per vial,"$39,000 per 900 mg vial",planning assumption,Internal planning assumption,,2026-05-02,2026-05-02,Market access owner,Internal only
MOD-002,Primary 340B acquisition assumption,Primary 23.1% planning assumption; site verification required,planning assumption,Internal planning assumption,,2026-05-02,2026-05-02,Market access owner,Internal/ARM-facing
